reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime
A2PD27UKAD3Q00,B00005ML71,"Wilhelmina Zeitgeist ""coolartsybabe""","[0, 0]","I bought this to use with my keyboard. I wasn't really aware that there were other options for keyboard pedals. It doesn't work as smoothly as the pedals do on an acoustic piano, which is what I'd always used. Doesn't have the same feel either. Nowhere close.In my opinion, a sustain pedal like the M-Audio SP-2 Sustain Pedal with Piano Style Action or other similar pedal is a much better choice. The price difference is only a few dollars and the feel and action are so much better. The only thing I've found the Yamaha FC-5 Sustain Pedal is good for is taking up space in a drawer where I keep my electric guitar pedals.",2,Definitely Not For The Seasoned Piano Player,1376697600,"08 17, 2013"
AKSFZ4G1AXYFC,B000068NSX,"C.E. ""Frank""","[0, 0]","This Fender cable is the perfect length for me! Sometimes I find it a bit too long but I don't mind. The build quality is great and I know that it will last. The only gripe I have with this cable is that the metal sleeve gets unscrewed way too easily, requiring me to tighten it often.Sound quality is not affected, and the color is cool, definitely try this cable out.",4,Durable Instrument Cable,1376352000,"08 13, 2013"
A67OJZLHBBUQ9,B000068NSX,"Charles F. Marks ""charlie marks""","[0, 0]",wanted it just on looks alone...It is a nice looking cord... I know it will perform...as for Sam Ash ...this cord was packed in a mailer inside another box with my Roc n Soc... his shipping team do great work..never any complaints from me... I love Sam Ash.. thanks Amazon,5,fender 18 ft. Cali clear...,1373328000,"07 9, 2013"
A2EZWZ8MBEDOLN,B000068NSX,Charlo,"[3, 3]","I've been using these cables for more than 4 months and they are holding up pretty well.  For years I used seemingly indestructable guitar cables that were made for me by an electrician friend.  When they finally gave out, I got in the habit of using the no-name cables that are always on display near the register at Guitar Center- really more of an impulse buy than something I put any thought into.  After the third or fourth Guitar Center cable failed from light use I decided to try these cables.  Not only are they cheaper but they seem to be holding up better.  I am not terribly hard on my gear but my cables tend to get twisted as I move around and the cheaper ones  eventually fail mid-cable.  I don't mind spending a few extra dollars if the cable is a little more durable.  This cable is actually cheaper- $12 or so shipped- and it's holding up pretty well.  These are actually very reasonably priced for 18' cables.  There is some kind of limited life warantee on this product but I haven't needed it.  Five stars for a nicely made 18 foot guitar cable that costs $12 shipped!Incidentally- these cables are shielded and are meant to connect your instrument to your amp's input.  Do not use these to connect an amplifier to a speaker cab.  You want to use unshielded cables for that purpose.Edit-  More than 6 months has passed and this cable is functioning without any issues.  The price on these things has gone up significantly and although the cable is highly recommended, there are probably better values from Hosa, Monster or Planet Waves-",5,So far so good.  Will revisit at the 6 month mark ;),1363564800,"03 18, 2013"
A1CL807EOUPVP1,B000068NSX,GunHawk,"[0, 0]",Fender cords look great and work just as well. By adding the word California to the description I'm sure to sound like the Beach Boys...,5,Add California to the name and I jump!,1375833600,"08 7, 2013"
A1GMWTGXW682GB,B000068NSX,MetalFan,"[0, 0]","This is a cool looking cheap cable which works well. I bent one of the connectors pretty badly but that was my fault. One thing to consider with the cable is to tighten the connectors once in awhile. You'll be able to hear them rattle. It seems that the 'retro' look is screw on connectors over some black rubber, but other than that, the cable looks cool and works well.I also have the shorter red cable which goes with one of my guitars perfectly. I bought theses to use while practicing with others who use black cables. It's easier to plug into different amps without cutting someone out by accident. The green cable is good for that.",4,"Cheap and cool looking, good length",1331856000,"03 16, 2012"
A2G12DY50U700V,B000068NSX,Ricky Shows,"[0, 0]",The Fender 18 Feet California Clear Instrument Cable - Lake Placid Blue  is a very good extra cord for a good price.,5,Fender 18 Feet California Clear Instrument Cable - Lake Placid Blue,1390953600,"01 29, 2014"
A3E0CF25A7LD2,B000068NSX,WBowie,"[0, 0]",Very good cable. Well made and it looks great with my Candy Apple Red Tele. The reason I gave it only 4 stars is because it tends not to lay flat on the floor.,4,Guitar Cable,1354924800,"12 8, 2012"
A2W3CLAYZLDPTV,B000068NTU,"Amazon Customer ""=Chris=""","[0, 0]","Got this cable to run a rockband keyboard controller to my M-audio profire 2626 to control midi in Pro Tools. Works great! Firm fit, solidly molded ends, reputable branded cable.(a bit on the thin side, but i haven't seen to have any issue due to this or anything. Couldn't go wrong for $5 at the time of my purchase and prime eligibility.",5,Quality cable!,1341446400,"07 5, 2012"
A398X9POBHK69N,B000068NTU,Ann Vande Zande,"[0, 0]","When I was searching for MIDI cables for my ART X-15 foot controller, I came across these Hosa ones, and they were $2 dollars each! As they are now $6, I realize I would still be happy with that price as well, as they are high quality plastic and metal connectors, and work flawlessly. You must realize that they are only 5 feet, as I overestimated it and now wish they were longer. For any connection from racked sound modules, this will be perfect.",5,"I Got Great Pricing, But Still a Really Good Product",1383177600,"10 31, 2013"
AXWB93VKVML6K,B000068NTU,Michael Hassey,"[0, 0]",Cant go wrong. Great quality on a budget price  - Hosa is the go to when you need to hook things up,4,Its a Hosa,1372809600,"07 3, 2013"
A2FZ4Z0UFA1OR8,B000068NTU,Pat,"[0, 0]","The ends of the midi cable look and feel like quality. Connection is secure, no worries about uneven connections, it also detaches without a hitch. Highly recommended.",5,Quality and Secure,1327449600,"01 25, 2012"
AXP9CF1UTFRSU,B000068NTU,tada,"[0, 0]","Just trying to find a midi to midi was a task, and you have to make sure the pin config is correct.  This one is a good product and works just fine",5,Midi to Midi,1381795200,"10 15, 2013"
A2CCGGDGZ694CT,B000068NVI,b carney,"[1, 1]",The Hosa XLR cables are affordable and very heavily made.I have a large mixer and rack and cables everywhere.I decided to purchase shorter cables and the Hosa cables 5ft measurement worked perfectly.You really will not be disappointed with these.,4,Very Heavy Cables At Affordable Price,1341964800,"07 11, 2012"
A27DR1VO079F1V,B000068NVI,Dan Edman,"[0, 0]",I bought these to go from my board to the amp. We use them for a mobile church so they take a beating. They are still going strong.,5,Still going,1392768000,"02 19, 2014"
A1LQC225SE8UNI,B000068NVI,David Burch,"[0, 0]","Sturdy cord and plugs, inexpensive, good value. I don't require professional-level equipment, so this cord serves my purposes well. Satisfied with purchase.",5,Does what it's supposed to do,1337990400,"05 26, 2012"
AU9BPT3Y3K6J4,B000068NVI,G. L. Beebe,"[0, 0]","Use it every week at gigs.  Solid, no problems with the solder joints.  A good quality cable at a very good price.",5,Good cable,1376092800,"08 10, 2013"
A14Z9LAETO21KL,B000068NVI,Gutjammer,"[0, 0]","Hosa products are a good bang for the buck. I haven't looked up the specifications, but I'm guessing the wire is 22 to 24 AWG, but since it's only 10' long, it's good enough.",4,Good Enough,1394496000,"03 11, 2014"
A2074KEJGRYJV4,B000068NVI,hcross,"[0, 0]",This was exactly what I was after. I have a voice touch and needed a small cord to connect the mic to the voice touch and this was perfect. Before I used a 20 foot cord to go about 12 inches. I highly recommend this for those who keep the mic on a stand and have a voice touch or other stand connected device for vocals.,5,Great little cord,1379289600,"09 16, 2013"
A7TRK2GG6BHWD,B000068NVI,"Johnny Pasta ""Johnny Pasta""","[0, 0]",I bought these because I really had too long of mike cords for my solo live show. And these are really nice cords if you have a home portastudio recording studio like myself. Who needs all the spaghetti to trip on all over the place? I bought two because I use a Digitech Live 2 Harmony processor and two XLR mike cords are required to make it operational. Good price here too. Hard to find just 10' mike cords. Usually longer ones are only obtainable.,5,Does the job. What more do you need?,1325808000,"01 6, 2012"
A319B090A2POEB,B000068NVI,Lee,"[0, 0]",This cable seems like it will last me for a while. As it is only being used to connect a DI box it will not get abused as much as the vocal mics always do.,4,Decent mic cable,1329004800,"02 12, 2012"
A396ELNTQDFYPO,B000068NVI,Mark King,"[0, 0]","These are not the greatest but they're cheap and they get to you fast when you need them. I've only had one fail and I've bought many of them to use in our broadcast studio.Amazon is the first place I go when I need cables for audio, video, computers or concert lighting.Good music to all!",4,Decent inexpensive cable,1379289600,"09 16, 2013"
A17CU1D2CWXOHB,B000068NVI,Rick,"[0, 0]","This is a fine cable at a decent price point, nothing exceptional mind, but it gets the job done well enough.",4,a fine cable.,1387065600,"12 15, 2013"
A1S0HTDO0P4N5V,B000068NVI,"R. Wristen ""The Party Doc VJ and Karaoke""","[0, 0]","I've used a lot of cables and I always come back to HOSA, they are indeed some of the best audio cables in their price range on the market.",5,Hosa is the best,1379376000,"09 17, 2013"
A3DWQW2L39RB1S,B000068NVI,S. Dawdy,"[0, 0]","I bought this cord after returning a cheap one that I should've known better than to buy. My son, who has some experience as a musician recommended the Hosa brand when I was seeking a proper replacement.I bought it for a small home recording setup which includes a Behringer C-1 Condenser Microphone and a Behringer Xenyx 302 Mixer, and both ends make a reliable connection to both the board and the mic; the sound quality is excellent.An excellent value for the money.",4,"Excellent quality, exactly what I needed",1355443200,"12 14, 2012"
AQQ91U1U4YKDF,B000068NVI,"Vince Lewis ""Vince""","[0, 0]","Nice solid cables, with excellent support at the ends.  Should last a lifetime of usage no problem and just what I needed to connect my tube preamp.",5,great value,1372464000,"06 29, 2013"
AA5TINW2RJ195,B000068NW5,,"[0, 0]",Good quality cable and sounds very good,5,Five Stars,1405382400,"07 15, 2014"
ABC68JUCPTVOE,B000068NW5,"A. Fabbri ""afabbri""","[0, 0]","Zero issues with this cable so far.  It feels fairly cheap and light weight but it has survived for months of plugging in, unplugging, and packing between practice spaces.I'll update this review if/when it breaks.",5,Pretty cheap cable that has lasted so far,1333152000,"03 31, 2012"
A3W2E6S24BTXXK,B000068NW5,"airchamp ""ariel""","[0, 0]",Realtively inexpensive patch cable for electric guitar.I have had it for a few months and so far it has held up pretty well,5,very nice cable,1401235200,"05 28, 2014"
A3872Y2XH0YDX1,B000068NW5,Amazon Customer,"[0, 0]","I bought this because I wanted a cheap replacement cable for one that had a short. I'm pleasantly surprised with this cable. It's decent sound and decent build quality, for a good price.",5,"Nice guitar cable, even better price",1363132800,"03 13, 2013"
A398X9POBHK69N,B000068NW5,Ann Vande Zande,"[0, 0]","This is a very nice cable for the price. I already bent one end of it though, fortunately it still works fine. Inside the phono connector the wires are covered by white shrink plastic. Haven't noticed any hum or crackles. For sure a good buy.",4,Does What You Want,1388966400,"01 6, 2014"
A13A81NN0NRD1S,B000068NW5,"aspiring saint ""TATITTLE""","[12, 13]",Cheap and good texture rubber that does not get stiff.  Only time will tell how well the soldering is.  Sounds fine to me.,4,"flexible, soft rubber is great.",1290038400,"11 18, 2010"
A1EUO0BU72JR7T,B000068NW5,Bilbo,"[0, 0]","Seems sturdy enough, and no noise issues, so I'm pretty much satified with it; it doesn't leave the house so I'm not asking it to handle a lot, but with reasonable care it should last a while.",5,"Works wonderfully, no noise",1372291200,"06 27, 2013"
A1H4WSC8JWS59N,B000068NW5,bradley,"[0, 0]","I'm not a professional, but have been playing for many, many years.  This is the best cord I've ever had, though I'm sure Eric Clapton has something better.",5,excellent,1359504000,"01 30, 2013"
A3OXHLG6DIBRW8,B000068NW5,"C. Hill ""CFH""","[0, 1]","This Hosa Cable is very well made, with good quality connectors and a nice long length. My son is expanding his collection of amps and effects pedals so needed additional cables to get everything connected. This 25' cable gives him flexibility to move around and it is sturdy enough that it can take being stepped on and pulled around.The cable works well and is a good value for a decent quality cable.Highly Recommended!CFH",5,"Great Guitar Cable, Good Value - Highly Recommended",1346803200,"09 5, 2012"
A12ABV9NU02O29,B000068NW5,C. Longo,"[2, 2]","I didn't expect this cable to be so thin. It's easily 1/2 the thickness of any guitar cable I've used. Not sure about long-term durability or signal loss/interference. If I had the foresight I'd spend a couple extra bucks on a thicker cable.  Still, it works and was inexpensive.EDIT: 6 months later and it's dead already.  Wire frayed at the right angle jack.  You get what you pay for.",2,Cannot recommend,1309910400,"07 6, 2011"
A2U1Z3TZ4P76JB,B000068NW5,C. Zemer,"[0, 0]","Bought this for my daughter along with her new guitar. It seems to work well, no issues in the first couple of weeks.",5,Cable works as described,1393977600,"03 5, 2014"
A1L7M2JXN4EZCR,B000068NW5,David G,"[0, 0]","It hums, crackles, and I think I'm having problems with my equipment.  As soon as I use any of my other cords then the problem is gone.  Hosa makes some other products that have good value.  But based on my experience I don't recommend this one.",1,I have bought many cables and this one is the only one that gives me problems,1391904000,"02 9, 2014"
A37A41GWQFMK3D,B000068NW5,Dr. Freud,"[0, 0]","I am not hard on cables.  I typically just plug them in to my guitar, dont move around much, and play for an hour or two a day.  this one seem to perform just fine.  no buzz, and/or other noises noted.  I have several of them and they have all performed well.",4,gets the job done,1370649600,"06 8, 2013"
A2JK2ITE138P7Z,B000068NW5,Dr. Marc,"[0, 0]","I have found Hosa cables to be an excellent value. More expensive cables may be more rugged, but for the price, I'm very happy with the Hosa's I have purchased.",5,Nice cable for the price,1399939200,"05 13, 2014"
A1DVUFG2QSJ6IK,B000068NW5,"grandpa ""Randy""","[0, 0]","This is good cable. Excellent 1/4&#34; plugs. The lugs and solder joints are covered with heat shrink material, which will hold everything in place for years. Grade A+ cable at a very affordable price. Definitely  going back for more. The 25 ft. cable was only a couple dollars more than 10 ft.",5,Well made audio cable,1381190400,"10 8, 2013"
A34VZEFXQJJ7AT,B000068NW5,Guitarslim,"[0, 0]","Pretty crappy cable. It works and gets the job done, but after purchasing this product and using it, I will shell out the extra bucks for better quality.",5,Eh,1374710400,"07 25, 2013"
A1SD1C8XK3Z3V1,B000068NW5,"guitfiddleblue ""guitfiddleblue""","[0, 0]",I use this cord in my church to run from my pedalboard to my amp (which is in a soundproof box). The cord is reliable and clean sounding. I like it and have used HOSA products in the past with confidence. Excellent cord. Hopefully this review will be usefull to you.,5,"great, affordable, cord",1392163200,"02 12, 2014"
AKHWZ3S1UVZAO,B000068NW5,Hagen LeBray,"[0, 0]","This my second Hosa guitar cable.  (The other one is shorter.)  Like my first Hosa cable, this is a high quality item.  I'd definitely buy more cables of this brand.",4,Nice Cable,1397779200,"04 18, 2014"
A3LNNEYLGGCO25,B000068NW5,Hans R,"[0, 0]","Works for practice ... it's a guitar instrument cable, what can I say ... maybe not the best but it serves it's purpose.",3,maybe not the best but it serves it's purpose,1404518400,"07 5, 2014"
AMACM7BGUQCZD,B000068NW5,IBZANE,"[0, 0]","These cables have taken a beating the last few months, and have served me well with no problems..Real metal ends, not molded on, with high quality silicone jackets and strain reliefs at the connectors..",5,High quality low cost,1390521600,"01 24, 2014"
A38HMS5RYSYF8G,B000068NW5,James I Van Asten,"[0, 0]",In my opinion it does not hurt to have extra guitar cables around. From experience they tend to just die without notice. I have a feeling this one will last a long time. It is built sturdy and sounds really good.I recommend this product.,5,works as advertised....,1389571200,"01 13, 2014"
A6D91KPQGIDKZ,B000068NW5,"Jim R. ""Photo man""","[0, 0]",Hosa guitar cables work great. Never had any problems with them. I own several of different lengths and they all sound perfect.,5,Good cables,1343001600,"07 23, 2012"
A2RCCN4KEXZGC8,B000068NW5,"Joe Average ""Joe Average""","[0, 0]",This product does exactly what it is supposed to do at a decent price.  I have absolutely no complaints.  This is my first experience with the brand and I am not disappointed.,5,No Complaints,1377388800,"08 25, 2013"
A3GAP455S8YH0M,B000068NW5,"Joe's Gadgets ""JOE H.""","[0, 0]","Good quality guitar cord.Very low noise, repairable, effective strain releaf,thick rubber cover!! This is a great buy, under 10 bucks for a quality cord.Of course I just got it..it might not be durable but it looks durable.If I change my mind about anything I will update my review.For now, I would say, buy one!!Joe",5,Good Quality,1373068800,"07 6, 2013"
A1N06X05VZWO5Y,B000068NW5,Joe Toland,"[0, 0]","This is a good solid cable with no problems. When I'm on stage, I like a longer cable but at practice I don't need all the extra length tangleing up on everything...",5,Perfect for practice!,1391385600,"02 3, 2014"
A3TA1UJWRJF9NC,B000068NW5,jschristian44,"[3, 3]",This guitar cable is very nice.  It looks high quality and has the white ends.  Fantastic deal for this cable.,5,Nice high quality guitar cable,1293580800,"12 29, 2010"
A3VPISTBNS66C5,B000068NW5,k2review,"[0, 0]",Good product at a good price. Have used it multiple times and works well with my guitar and speaker. Great to have when friends come over to jam.,4,Works well,1359072000,"01 25, 2013"
A1E5FQZTUM8OC1,B000068NW5,Kenwood,"[0, 0]",This item is well built and I like the terminal ends and how they have the spring built in. These aren't going to be the most durable road cables but for home and light road use they will work well.,5,Well built cable,1373846400,"07 15, 2013"
A3MYWHYZ30WLQJ,B000068NW5,kyle c.,"[0, 0]",This amp plug is great for the price its 10 ft long the perfect size for jammin at home and it has a quality look to it aesthetically totally worth the price,5,pperfect amp chord.for home use,1377734400,"08 29, 2013"
A1FHOW9NVOH8XR,B000068NW5,Lee,"[0, 0]","Hosa Cable GTR210 Guitar Instrument Cable - 10ft. is a High quality Instrument Cable, but low cost, won't break the bank. I'm very satisfied with my purchase.",5,Hosa Cable GTR210 Guitar Instrument Cable - 10ft.,1359936000,"02 4, 2013"
A319B090A2POEB,B000068NW5,Lee,"[0, 0]",...unbalanced guitar cable is notoriously noisy especially around florescent lights. These are no different. I would prefer to use cables with better shielding but cannot justify the expense considering how rarely these things get used.,3,Standard guitar cable,1329004800,"02 12, 2012"
A2VH0UT5EQFB6P,B000068NW5,Loveguitar,"[0, 0]","This is your basic, black electric guitar cable but it works great.  So far the connections at both ends are solid and the sound from the amp is great!  Nice and rubbery and 10 feet is long enough.  If problems arise later with this cable, I will update this review, but as of now there has been no problems whatsoever with this cable.",5,Hosa Electric Guitar Cable GTR210,1389830400,"01 16, 2014"
A396ELNTQDFYPO,B000068NW5,Mark King,"[0, 0]","Hosa cable quality can be all over the place, some of their products are good (sound good, reliable, long lasting) and some of their products are not good (affect sound negatively, break prematurely, short useful life span).These guitar cords are actually quite nice, they feel good (gooey soft rubber jacket like Mogami), they sound good and so far they are working reliably, the rubber jacket is about .25&#34; in diameter (by eye) and there is a short heat shrink overwrap to add strength where the wire enters the plug.I bought these when I needed cables fast for an internet concert, we had lots of pedals and signal splits to connect up. These cables arrived in good working condition and we've been using them continuously since.We have over a dozen tube amps and are very particular about sound degradation but so far these cables have not disappointed anyone.I would buy more if I needed them.",4,So Far So Good,1358726400,"01 21, 2013"
A2WYAHJGST6AOT,B000068NW5,Matt,"[0, 1]","It's a cable, no frills, tangles pretty easy and due to it's design it might rattle a little when you move around but it works like it should",3,average cable,1393372800,"02 26, 2014"
A781ITP3HE2N5,B000068NW5,"Michael Livote ""dragon2knight""","[0, 0]","I never really considered a cheaper cable, I was always taught to get the best I could afford. When this showed up in a cable search on amazon, I jumped on it. I figured I had nothing to lose.To my surprise, this is an excellent cable, with good build quality and a strong, thick jacket that inspires confidence. The sound through it is identical to my Monster cables, and it cost one quarter the price....hmmmm, guess I should have tried to figure this out myself instead of listening to &#34;snobs&#34; for so many years. I will never do that again.This is worth the money twice over, try it out for yourself and kiss overpriced cables goodbye!",5,"Good quality, low price",1380844800,"10 4, 2013"
AN73VQ17FZVJ8,B000068NW5,MJK,"[2, 2]","One end was loose, so I tightened it, it keeps coming loose so I had to put a dab of crazy glue on the threads, hope I don't ever have to open the end for repair.",3,Good for the Price,1371168000,"06 14, 2013"
ALUTHT4U058KZ,B000068NW5,M. M. Jackson,"[6, 6]","For the price, fantastic.They do feel light and I don't trust the build quality at the key stress points (where cable meets connector), but then again I am not going to push it.Set your guitar down on it by accident when it's plugged in and...who knows.But for seven bucks it gets the job done. Recommended if you are doing the ""beginner"" thing and testing the waters.Otherwise, spend a few more bucks for something with higher chances of lasting.",4,"Feel a little flimsy and can see easily breaking, but the work",1334620800,"04 17, 2012"
A1A15ECLHM9BQY,B000068NW5,Nick,"[0, 0]","Hosa makes good stuff, this is no exception. I've trusted them for years, I can't think if a single Hosa cable I've owned that's failed.",5,Excellent,1404950400,"07 10, 2014"
A1S8R9OAIQT7YI,B000068NW5,patriotsarebest,"[0, 0]",Only complaint is the size which is my fault. If you can buy at least a 15 foot if you plan to use it on stage.,4,Only complaint is the size which is my fault. ...,1403913600,"06 28, 2014"
A3RHT4KI3H5TVH,B000068NW5,pops,"[0, 0]","Hard to day too much, but it works great. No issues to speak of. It does the job perfectly well",5,worth it,1379894400,"09 23, 2013"
AVY8D3ULJTX0H,B000068NW5,P. Panehal,"[0, 0]","For the price, this works really well. I see no faults. It can unscrew pretty easily, but this is hardly a problem right now.",5,Works,1357603200,"01 8, 2013"
A15BHBF0L0HV1F,B000068NW5,"Quaestor ""Raoul Duke""","[0, 0]","This cable disproves the notion that you get what you pay for. It's quality outweighs its price. Let's face it, a cable is a cable is a cable. But the quality of these cables can vary greatly. I replaced a lighter cable with this one and I was surprised at the difference in the quality of the sound from my amp. I have an Ibanez ART series guitar into an Ibanez 15 watt amp set up in my home. With nothing changed but the cable, there was a significant difference in quality and volume. So much so that I checked with my guitar teacher who said he was not surprised. The quality appears good. The ends are heavy duty and the little bit of hum I had due to the proximity of everything was attenuated to the point where it was inconsequential. I've seen more expensive cables and this one is (so far) great.Hosa GTR210 Guitar Cable 10 Ft",5,"Good quality, great price",1320192000,"11 2, 2011"
A1AFN4T80DZ3RR,B000068NW5,Quique,"[0, 0]",I was looking for a long cable to perform live with my band and i'm glad with HOSA quality. It feels reliable and without adding noise.,5,Very good quality for an excellent price,1383868800,"11 8, 2013"
A3DCG2MNPR4BW,B000068NW5,RAYON ORMOND,"[0, 0]","These are Good cables at a good price!! Not sure they would hold up to heavy use, but for practicing at home they are really great!",5,Good cables at a good price!!,1369180800,"05 22, 2013"
A3NGAQKJ6X088B,B000068NW5,"R. Beckmeyer ""Positively Positive""","[0, 0]","very sturdy, high quality with little to no feedback, i use it for performing for my friends and they all love it",5,"works well, great quality",1402876800,"06 16, 2014"
A35XRT4BW4I6UD,B000068NW5,Richard R. Casper,"[0, 0]","Unless you're going to go for the very top of the line most expensive professional chords, these will do for any medium sized venue.",5,Great Value,1346976000,"09 7, 2012"
AKYDGCKCY7H9F,B000068NW5,"R. W. Milyard ""GearJunky""","[0, 0]","I have many lengths of these Hosa cables and have neverhad a problem with them.I am not an active musician, so have not put any of them throughthe riggers of what happens on stage; so I cannot comment on thistype of usage.In my over 40 years (10 of them on stage) I have come to realize, thatyou should ALWAYS have extra cables (just like strings) with you, aseven the most expensive cables will sometimes let you down.",5,Good cables,1381363200,"10 10, 2013"
A19NGYCQ1NCF3W,B000068NW5,S. Haney,"[4, 4]","I've been using these for about 3 weeks now - they are strong but flexible and don't seem to develop kinks or bending ""habits"" if you roll them up the proper way.I've seen and used some better cables but not at this price point.  And I've certainly seen quite a few worse!  This is a pretty good sweet spot, in my opinion.",4,Very Solid Cables,1295568000,"01 21, 2011"
A3UD50M7M72150,B000068NW5,synthezatory,"[0, 0]","I'm a pro-cheapo and I hated this thing. They're noisy, and the cables feel really cheap, gummy-like. Drop few more bucks and get something else!",1,Crap,1394755200,"03 14, 2014"
A2B78RXJ2PB6ZD,B000068NW5,Tom,"[0, 0]",Works great on my 100 watt Amp. Almost compares to a monster cable. And with Its length Its plenty of Room from your Guitar to amp. GOOD PRODUCT!,5,Works Good. No complaints!!!,1328313600,"02 4, 2012"
